"d"
"Vip"
"Lamp5"
"Lamp5"
"Vip"
"Lamp5"
"Sst"
"Sncg"
"Lamp5"
"Vip"
"Lamp5"
"Vip"
"Vip"
"Sncg"
"Vip"
"Vip"
"Vip"
"Lamp5"
"Lamp5"
"Lamp5"
"Lamp5"
"Sncg"
"Vip"
"unassigned"
"Vip"
"Sncg"
"Lamp5"
"Vip"
"Vip"
"Vip"
"Vip"
"Vip"
"Pvalb"
"Lamp5"
"Lamp5"
"Sncg"
"Sncg"
"Lamp5"
"Lamp5"
"Lamp5"
"Lamp5"
"Lamp5"
"Lamp5"
"Lamp5"
"Vip"
"Vip"
"Lamp5"
"Lamp5"
"Vip"
"Lamp5"
"Lamp5"
"Vip"
"unassigned"
"Sst"
"Pvalb"
"Sst"
"Vip"
"Sst"
"Sst"
"Lamp5"
"Sst"
"Pvalb"
"Sst"
"Pvalb"
"Sst"
"Pvalb"
"Pvalb"
"Pvalb"
"Endo"
"Vip"
"Sst"
"Sst"
"Sst"
"Lamp5"
"Pvalb"
"Lamp5"
"Pvalb"
"Vip"
"Sst"
"Vip"
"Vip"
"Pvalb"
"Sst"
"Sst"
"Vip"
"Sst"
"Lamp5"
"Pvalb"
"Sst"
"Vip"
"Sst"
"Pvalb"
"Sst"
"Vip"
"Lamp5"
"Sst"
"Vip"
"Sst"
"Sst"
"Pvalb"
"Lamp5"
"Sst"
"Lamp5"
"Sncg"
"Pvalb"
"unassigned"
"Sst"
"Pvalb"
"Sst"
"Vip"
"Sst"
"Pvalb"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6b"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6b"
"L6 CT"
"L6 CT"
"L6 CT"
"unassigned"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"L6 CT"
"unassigned"
"L6 CT"
"unassigned"
"L6 CT"
"unassigned"
"L6 IT"
"L6 IT"
"L6 IT"
"L6 IT"
"L6 IT"
"L6 IT"
"unassigned"
"L6 IT"
"L6 IT"
"L6 IT"
"L6 IT"
"Pvalb"
"unassigned"
"unassigned"
"Sst"
"Pvalb"
"Vip"
"Lamp5"
"Vip"
"Sst"
"Vip"
"L2/3 IT"
"Sncg"
"unassigned"
"L2/3 IT"
"Pvalb"
"Vip"
"Lamp5"
"L2/3 IT"
"Lamp5"
"Vip"
"L2/3 IT"
"Lamp5"
"unassigned"
"Vip"
"Lamp5"
"unassigned"
"Lamp5"
"unassigned"
"Pvalb"
"Sst"
"Vip"
"unassigned"
"Lamp5"
"L2/3 IT"
"unassigned"
"unassigned"
"L2/3 IT"
"Pvalb"
"Vip"
"Pvalb"
"Vip"
"Sncg"
"L2/3 IT"
"unassigned"
"Vip"
"unassigned"
"Vip"
"Lamp5"
"Sst"
"L2/3 IT"
"Vip"
"Pvalb"
"Vip"
"unassigned"
"L2/3 IT"
"Lamp5"
"Vip"
"Lamp5"
"Pvalb"
"Sncg"
"Pvalb"
"Pvalb"
"L2/3 IT"
"Vip"
"L2/3 IT"
"Pvalb"
"Vip"
"Lamp5"
"L2/3 IT"
"L2/3 IT"
"unassigned"
"Pvalb"
"unassigned"
"Sst"
"L6 IT"
"L6 IT"
"unassigned"
"unassigned"
"unassigned"
"L6 IT"
"L6 IT"
"unassigned"
"unassigned"
"unassigned"
"unassigned"
"L6 IT"
"unassigned"
"L6 IT"
"L6 IT"
"L6 IT"
"L6 IT"
"unassigned"
"L6 IT"
"L6 IT"
"unassigned"
"Lamp5"
"Lamp5"
"unassigned"
"Sst"
"Lamp5"
"Sst"
"unassigned"
"Lamp5"
